"guid","sample_damage_states"
"a2a58a94-9718-42a1-9d1b-6e2743e012ac","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"093de4cf-71d4-4a37-94d0-0b5cf477a048","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e1c29d8b-2fc1-4bdd-b850-7a3bfe35a2d4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"419ff653-39c3-4e32-b2d1-a21fbc97229a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"6d54b569-ecb3-412b-8d39-87568d5a119e","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4fca4dc8-926d-4a98-abf0-fc9fb8fc5012","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"20aef644-1288-4269-a971-72dc47fc4b10","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"96262c91-bb97-4fcf-9050-14d14f4be721","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"03f8708d-42c8-42d5-83be-ab6cb0bfdab4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8cfd13bf-adeb-4d9f-a3d5-e53ba75428b2","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a679f25f-fc7d-4892-8f75-736d7f6422f4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"528d939a-552f-4857-9221-4a93737aa161","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c8f082c4-9ca8-4e32-a8dd-84273c1efe0f","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"5d786946-fa8f-439e-a884-e45d42794bda","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a6ab8d20-28b6-4e78-9fca-c3ed7f808e7a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"64d67a49-c5a3-44a0-ac56-3ec9f6bde780","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"cd32033f-d862-44c8-9d8b-41aa368a8427","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"76c760b6-af2d-42c0-a4bc-e5d7390be4c8","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"2e44fb64-59b3-4a74-b86d-bb3da2ebeeed","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"d5570498-6334-4b2e-aaa9-04efa09c02e5","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"2f157bb1-c2d5-4387-8b63-f35528965df5","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e0a229ca-7bf5-483b-85a9-b6866910867b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"6b7ca738-1023-4c68-b87e-c7a46db52323","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0339f40f-4dff-45ee-8d2d-960d5bac0e60","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"1342b1b9-e078-48cd-8396-99990aabf9ee","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"23a4e45a-96bb-414e-9578-b1d1e2d1f9f7","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"aef8539c-5ed4-4da5-a968-229ecf440a60","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4652db8c-764e-47b2-90ba-8821692d3bc0","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"f4178967-3a0c-489c-af26-59c9131ea467","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0541162d-b2a6-4401-acfc-0a1f58357002","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"de499cfb-0498-4100-9fec-6210d09b51ed","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0daca390-fd0e-4e92-9819-e3d42f6082af","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"fbe8b3a6-817e-4de9-afea-bb8b653de034","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"f6e424cc-ba21-4da4-b0a7-cf554164129f","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"2320c0da-ea84-4f94-a24d-e48facbb266a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8758be5f-a21c-4e43-8c59-d5c956b6d009","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"f08f04d2-6ad6-46fd-a44b-4d2261754397","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"dfd345a7-d5d0-4495-9479-fb8e702cf33c","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"054f4498-b05e-46f4-8e39-9867f31db867","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"923662dd-e05c-4073-b132-fa589c05380d","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"340df193-3bfc-4a53-a731-2fa15232d9db","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4136884c-6abb-4839-aa92-313daf6611c7","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"eb91fc9b-50eb-47db-86da-672ff6c9d0a9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a1cf6797-1574-4a32-9dff-f76f7398906d","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4f4f6aa3-80aa-4ecd-88b7-d2d1004e2de7","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"90960c6c-a78b-497a-a984-8d8e554ecd8f","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"9de37c05-acf8-4006-8e5b-62d6b21c69ef","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8b02c3a6-7334-416b-852a-242bab7d41d7","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e5696efd-f89f-412c-b204-bc2a2ddd1f89","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"77e0451a-ea7a-4cf5-a0c1-72413939da78","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"839ce5fe-13aa-4de2-b908-cec84ace8e1c","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"b96936ec-94ef-4fed-a80f-e2b171bb3b59","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"6ecd129e-8c55-4baf-8de5-f1d673fb9abe","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"f58a9891-cac3-430d-8dce-48d9699ec93f","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8bcf8b45-2fcf-4eb4-8a82-d626fba2c3d8","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"06f1a185-4965-49a4-9ac4-5ef1de7fd1b2","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"370d759a-871f-4dbd-b1dd-981364c1c2d4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4455a107-bfd9-48b8-b7a7-3e5cf84fdd8c","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"092aae35-7161-43a6-916f-7e0df02190a2","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c6b905d8-b343-422e-a2bf-7eb3a6ccd579","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a2053544-d3d0-48ae-a02f-a784dc2038b6","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"945470f2-c9bb-4911-9fc1-a732c93502e3","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"ad4aea3b-15ab-4069-bfd5-4790028cf67b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"cc9acf0c-1fe6-4ea1-8bd7-8184e095e1b3","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"6aff5cae-a7b5-4d58-82d0-73cd2f9534c0","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"96849b42-ca11-4f34-99d1-38b0bea28961","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"2f74479d-70e8-4e6c-bf26-b796437ceea9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"713d1db5-abc2-493c-9337-dbca5978785c","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e838a047-cfbb-4b69-8f0f-3b354d000d47","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"30942240-bfff-4b8e-a8e2-79883d535ed9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"99cb2044-b751-4332-b889-c939923a472b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c981f94c-a732-465e-9cc0-342f79ae48d9","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"cf0f3961-abfe-4f9d-9e76-449380ad63ff","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"618a2026-4071-417e-8165-ad4bfc36ee2d","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"ce7b5cc5-7023-465a-8b8d-4eecbd2f3b41","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
