sector,shock
HS1I,0.8092783330794909
HS2I,0.6113657745323422
HS3I,0.5202414355328219
IAcco,0.7257467725443185
IAgMin,0.6733182236294055
IArt,0.5127762688671579
ICons,0.5752074213488901
IEdu,0.9068851739594115
IHealth,0.7936323889814755
IManu,0.8387443225805287
IProfSer,0.708121560341137
IRealE,0.7064178790318306
IRetail,0.7110003811974324
ITrans,0.4903537991821302
IUtil,0.8921275212330827
IWhole,0.4143412525862307
