building_guid,probability
fbbefeaa-de4e-4061-bd03-fa81f401af45,1.0
2d4cd4b8-5483-45d8-b0a7-d8bf5062e25d,0.0
60955849-54c4-401d-b5ae-03c6adaa2207,0.3
4512ba4e-8ce9-443d-afab-cc66b0f9b952,1.0
85b8b03b-9cf0-4ea5-a3a0-4d6f550ae4a7,0.9
0af67d2a-433f-4154-a90a-5ba5a64967ca,0.8
8e07c79a-0d9c-473e-bd9e-1c9e800924a8,1.0
e67bb5b4-4877-4f67-94dc-20b3ed7b66ab,1.0
fa223485-37fd-4978-afdd-1e8178072ed8,1.0
87b072c1-4b25-4b98-a40a-a9d1f8ff536e,1.0
bcb7938b-5a23-4279-9391-52185e3dba73,1.0
b9ab713a-c87a-433a-a4c4-bf3f69cbfd91,0.4
5cc062c9-d658-4d06-8981-4556db093331,1.0
c66f7cd4-b070-4f4b-99d6-3cf49881a411,1.0
0fc65467-53a8-4084-b281-801e6f66df10,1.0
b907177e-02a8-4194-abca-2ad7d6c33596,0.1
497626a4-6d7b-446d-9abe-178040dbda8b,1.0
69b86483-6bb1-44a5-82bc-111353e8da99,0.0
ee6fb18b-79f5-40e8-826b-3b93580c2537,0.1
8586f410-8338-4519-acc1-f62ae51891d4,0.7
6080271f-ad5a-43a9-8ada-2b013f558f91,1.0
a1d09c24-450b-4ed8-9711-932a8038418f,1.0
2892dda2-0626-4e6b-91a8-4759d8c4347e,0.8
7d9d9cbe-9b81-4a16-89be-5bc1af1e4982,0.0
bf460561-ab8c-4913-bdc9-1abeee1c0eb4,1.0
28a8ae6f-c2ae-4056-9344-78bdf74efd10,0.1
c58747cd-a18b-4d79-8a15-30eba0e98844,0.0
a8fe2a82-242a-463d-8551-8aaa58bce893,0.0
0813b932-3978-453c-aebe-d6bae078f6c1,0.0
e7534d2b-93d6-42ec-a61f-3a0bdbd0a2a2,1.0
853889f1-99bf-4c8b-a01d-8ec60383b380,0.0
ee294585-848a-4144-8ff1-ef2eae2580a4,0.0
909119c7-32a1-45b5-9c4e-f64724d82d46,0.0
8149589b-8615-4b80-a575-aa5bdfd27b0b,0.1
