GEO_ID,factor_white_nonHispanic,factor_owner_occupied,factor_earning_higher_than_national_poverty_rate,factor_over_25_with_high_school_diploma_or_higher,factor_without_disability_age_18_to_65,FIPS,R1,R2,R3,R4,R5,SVS,zone
1500000US481677201001,0.8268733850129198,0.8571428571428571,0.8363479758828596,0.9850136239782016,0.07540394973070018,481677201001,1.3894394716743916,1.3301955977092086,0.9629649739460069,1.114086885049534,0.13704128010710248,0.9867456416972489,Medium Vulnerable (zone3)
1500000US481677201002,0.6767411300919842,0.889261744966443,0.8948751642575559,0.9292730844793713,0.1762295081967213,481677201002,1.1371642325150486,1.3800407347598334,1.0303527527815788,1.0510422707319897,0.32028451403641794,0.9837769009649737,Medium Vulnerable (zone3)
1500000US481677201003,0.5173228346456693,0.8099547511312217,0.984251968503937,0.9809885931558935,0.056363636363636366,481677201003,0.8692851639479802,1.2569646183481435,1.1332605548619756,1.1095344261373994,0.102436873749322,0.894296327408964,Medium to High Vulnerable (zone4)
1500000US481677201004,0.5616786774056803,1.0,1.0,0.919908466819222,0.061051004636785165,481677201004,0.9438186534122458,1.5518948639940766,1.1513927237397672,1.0404505413744407,0.1109558299947161,0.9597025225030494,Medium Vulnerable (zone3)
1500000US481677202001,0.7015477792732167,0.9731127197518097,0.9872139973082099,0.9736008447729673,0.0627177700348432,481677202001,1.1788481688432748,1.5101686318701408,1.136671013274723,1.1011786091384193,0.1139850567740011,1.0081702959801118,Medium Vulnerable (zone3)
1500000US481677202002,0.906392694063927,0.4918032786885246,0.9558599695585996,1.0,0.048109965635738834,481677202002,1.5230600099071194,0.7632269822921689,1.100570213863887,1.131037031295101,0.08743641812102644,0.9210661310958604,Medium to High Vulnerable (zone4)
1500000US481677202003,0.8831683168316832,0.2336065573770492,0.9016018306636155,0.89501312335958,0.13524590163934427,481677202003,1.484034849566481,0.3625328165887802,1.0380977875365407,1.0122929860147754,0.24579974333027427,0.8285516366073704,Medium to High Vulnerable (zone4)
1500000US481677203011,0.6856735566642908,0.6388308977035491,0.9087669280114041,0.895808383233533,0.17105263157894737,481677203011,1.1521738655282117,0.9913983891068632,1.0463476284876716,1.0131924543817192,0.3108759114209051,0.902797649785074,Medium to High Vulnerable (zone4)
1500000US481677203012,0.8530852105778648,0.8546511627906976,0.9441723800195887,0.992603550295858,0.07924528301886792,481677203012,1.433484600861866,1.3263287500414491,1.0871132083106128,1.1226713727796047,0.14402262833897372,1.0227241120665012,Medium Vulnerable (zone3)
1500000US481677203021,0.609904761904762,0.5933412604042806,0.9787489975942262,0.9715976331360947,0.04078164825828377,481677203021,1.0248555165908588,0.920803254617175,1.126924474197583,1.0989129025955953,0.07411772595669967,0.8491227747915822,Medium to High Vulnerable (zone4)
1500000US481677203022,0.7631359466221852,0.9513212795549374,0.9829024186822352,0.947766323024055,0.05682859761686526,481677203022,1.282338052849407,1.4763506077495805,1.131706693016944,1.0719588083546008,0.1032819075382715,1.0131272139017606,Medium Vulnerable (zone3)
1500000US481677203023,0.7941810344827587,0.884310618066561,0.9816810344827587,0.9905933429811867,0.10891089108910891,481677203023,1.3345047705802071,1.3723571063529236,1.1303004001367758,1.1203977538661312,0.19793774710424725,1.031099555608057,Medium Vulnerable (zone3)
1500000US481677204001,0.6711380354824751,1.0,0.9878048780487805,1.0,0.10154125113327289,481677204001,1.1277490536556438,1.5518948639940766,1.137351349060014,1.131037031295101,0.1845439541121936,1.0265152504234059,Medium Vulnerable (zone3)
1500000US481677204002,0.9443430656934306,0.8898550724637682,1.0,1.0,0.05789473684210526,481677204002,1.5868300444280885,1.3809615166555989,1.1513927237397672,1.131037031295101,0.10521953925015248,1.0710881710737414,Medium Vulnerable (zone3)
1500000US481677204003,0.8829144129812281,1.0,0.9748647788736876,0.9892167990919409,0.14836363636363636,481677204003,1.4836082013779837,1.5518948639940766,1.1224522130253412,1.1188408317521912,0.26964028703047344,1.1092872794360131,Medium to Low Vulnerable (zone2)
1500000US481677204004,0.7785204991087344,1.0,0.9910873440285205,0.9792243767313019,0.052060737527114966,481677204004,1.3081895373285257,1.5518948639940766,1.14113075650501,1.1075390320299672,0.0946166631789973,1.0406741706073155,Medium Vulnerable (zone3)
1500000US481677205011,0.48462354188759277,0.5714285714285714,0.8069989395546129,0.8981324278438031,0.11518324607329843,481677205011,0.814338797457785,0.8867970651394723,0.9291727070688895,1.0158210348983165,0.20933730322019867,0.7710933815569325,Medium to High Vulnerable (zone4)
1500000US481677205012,0.9207317073170732,0.9084967320261438,0.9317073170731707,0.9608763693270735,0.13279132791327913,481677205012,1.5471546190212733,1.4098914123867756,1.072761025533149,1.0867867562053082,0.2413387313177925,1.0715865088928598,Medium Vulnerable (zone3)
1500000US481677205013,0.900131406044678,1.0,0.9894875164257556,0.98125,0.02711864406779661,481677205013,1.5125388335394334,1.5518948639940766,1.1392887266439484,1.1098300869583178,0.04928619404013306,1.0725677410351817,Medium Vulnerable (zone3)
1500000US481677205014,0.6243589743589744,0.9788732394366197,0.9564102564102565,0.9762150982419855,0.03242147922998987,481677205014,1.049143701069715,1.5191083527829343,1.1012038101408543,1.1041354266210706,0.05892371729215503,0.9665030015813458,Medium Vulnerable (zone3)
1500000US481677205041,0.7647058823529411,1.0,1.0,1.0,0.0,481677205041,1.284976099631225,1.5518948639940766,1.1513927237397672,1.131037031295101,0.0,1.0238601437320338,Medium Vulnerable (zone3)
