HW0,HWl,ΔHW,percentage
1238,1227.126428,-10.8735723,0.878317633
2363,2043.59394,-319.4060596,13.51697247
4245,3972.315007,-272.684993,6.423674748
753,692.7293396,-60.27066045,8.004071773
6965,6248.461224,-716.5387764,10.28770677
