DS0,DSl,ΔDS,percentage
1361.073785,1217.00175,-144.0720353,10.5851745
682.7392683,615.3731151,-67.36615323,9.867039491
22.01828751,12.09595999,-9.922327528,45.06402926
266.6948489,190.377165,-76.31768396,28.61610723
229.6358331,149.9654511,-79.67038209,34.69422912
477.8257976,427.2370518,-50.58874582,10.58727806
